Item Name,MFR Name,Selling,M.R.P,Total Stock
AAVIN CURD 200ML,MFR,14,14,0
AAVIN CURD 500ML,MFR,27,27,0
AAVIN CURD CUP 200ML,MFR,22,22,0
AAVIN GHEE 1000ML,MFR,690,700,5
AAVIN GHEE 200ML,MFR,108,110,3
AAVIN GHEE 200ML JR,MFR,159,160,22
AAVIN GHEE 500ML,MFR,285,290,10
AAVIN GHEE 500ML JAR,MFR,360,365,16
AAVIN GREEN MILK 500ML,MFR,22,22,16
AAVIN ORANGE MILK 500ML,MFR,30,30,8
AAVIN PANNEER 200GM,MFR,85,85,0
AAVIN SALT COOKIES 80G,MFR,34.5,35,0
AAVIN TABLE BUTTER 100G,MFR,51,52,0
ACCOUNTS NOTE,MFR,215,220,13
ACHU VELLAM 1KG,MFR,80,90,0
ACHU VELLAM 250G,MFR,23,25,1
ACHU VELLAM 500G,MFR,40,50,0
ACHU VELLAM BULK,MFR,80,90,0
ACI II CLASSIC SALTED COMBO,MFR,59,60,2
ACI II GOLDEN SIZZLE 41G,MFR,9.8,10,11
ACI II GOLDEN SIZZLE COMBO,MFR,59,60,2
ACI II MAGIC BUTTER 41G,MFR,9.8,10,12
ACI II MAGICAL POPCORN TUB NATU,MFR,88,90,0
ACI II MOVIE TANDOORI TADKA 70G,MFR,34,35,0
ACI II MOVIE THEATRE BUTTER 70G,MFR,34,35,31
"ACI II NACHOZ SALT,CHEESE,TOMATO",MFR,34,35,6
ACI II PERI PERI 59G,MFR,29,30,0
ACI II SPICY PUDINA PC,MFR,24,25,3
ACI II SWEET CORN CHANA MASALA,MFR,29,30,3
ACI II SWEET CORN PERI PERI,MFR,24.5,25,7
ACI II SWEET SALTY POPCORN 20/-,MFR,24,25,3
ACI II TOMATO CHILLI POPCORN,MFR,24,25,10
ACP GRAM FLOUR 500G,MFR,40,50,0
ACT 11 BUTTER GARLIC,MFR,32,33,1
ACT II BUTTER DELITE 70G,MFR,34,35,24
ACT II BUTTER PEPPER 70G,MFR,32,33,2
ACT II BUTTER POPCORN ,MFR,24,25,15
ACT II BUTTER POPCORN 25/,MFR,24,25,0
ACT II CARAMEL BLISS POPCORN 10/-,MFR,9.8,10,4
ACT II CHEESE BAKES,MFR,39,40,7
ACT II CHILLI SURPRICE 10/-,MFR,9.8,10,16
ACT II CLASIC SALTED 75G,MFR,19.5,20,15
ACT II CLASIC SALTED FAMILY PACK,MFR,35,36,0
ACT II CORN PUFF 32G,MFR,9.8,10,0
ACT II GOLDEN SIZZLE FAMILY PACK,MFR,35,36,0
ACT II GOLDEN SIZZLE RS20,MFR,19.5,20,1
ACT II NACHOZ GREEN MANGO SALSA 30/-,MFR,24,25,0
ACT II NACHOZ PERI PERI 30/-,MFR,29,30,0
ACT II P SP H R  CREAMY 462G,MFR,212,215,3
ACT II P SP H R CRUNCHY 462G,MFR,212,215,0
ACT II SALTED POPCORN 50G,MFR,19.5,20,8
ACT II SOUR CREAM AND CHEESE 15/-,MFR,14.75,15,2
ACT II TOMATO CHILLI 50G,MFR,32,33,10
ACT II XTREME BUTTER 70G,MFR,34,35,14
ACTII BUTTER DELITE 450G,MFR,115,120,1
ACTII CLASSIC SALTED 225G,MFR,64,65,1
ACTII CLASSIC SALTED 41G,MFR,9.8,10,21
ACTII SOU SPICE 70G,MFR,34,35,25
ACTII THEATRE BUTTER 450G,MFR,118,120,0
